"lightLink","fl-l href","lazyloaded src","fs14","fs12","title","title href","title 2","title href 2","title 3","title href 3","title 4","title href 4","title 5","title href 5","title 6","title href 6","favorites"
"11","https://myanimelist.net/character/422/Guts","https://cdn.myanimelist.net/r/50x78/images/characters/9/347984.webp?s=22ae77927f0e25499c87d72f8ced5a80","Guts","(ガッツ)","Kenpuu Denki Berserk","https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk","Berserk: Ougon Jidai-hen I - Haou no Tamago","https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago","Berserk: Ougon Jidai-hen II - Doldrey Kouryaku","https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku","Berserk","https://myanimelist.net/manga/2/Berserk","","","","","74,179"
"12","https://myanimelist.net/character/672/Gintoki_Sakata","https://cdn.myanimelist.net/r/50x78/images/characters/15/241479.webp?s=b912ec4cceac9cd4db613d0a7ac8b222","Sakata, Gintoki","(坂田 銀時)","Gintama","https://myanimelist.net/anime/918/Gintama","Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi","https://myanimelist.net/anime/2951/Gintama__Nanigoto_mo_Saiyo_ga_Kanjin_nano_de_Tasho_Senobisuru_Kurai_ga_Choudoyoi","Gintama: Shiroyasha Koutan","https://myanimelist.net/anime/6945/Gintama__Shiroyasha_Koutan","Gintama","https://myanimelist.net/manga/44/Gintama","3-nen Z-gumi Ginpachi-sensei","https://myanimelist.net/manga/14022/3-nen_Z-gumi_Ginpachi-sensei","Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare","https://myanimelist.net/manga/91209/Gekijouban_Gintama__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare","71,272"
"13","https://myanimelist.net/character/40882/Eren_Yeager","https://cdn.myanimelist.net/r/50x78/images/characters/10/216895.webp?s=faca0b326795e33364533cd8ac76d4e0","Yeager, Eren","(エレン・イェーガー)","Shingeki no Kyojin","https://myanimelist.net/anime/16498/Shingeki_no_Kyojin","Shingeki no Kyojin OVA","https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA","Shingeki no Kyojin: Ano Hi Kara","https://myanimelist.net/anime/19285/Shingeki_no_Kyojin__Ano_Hi_Kara","Shingeki no Kyojin","https://myanimelist.net/manga/23390/Shingeki_no_Kyojin","Shingeki! Kyojin Chuugakkou","https://myanimelist.net/manga/36535/Shingeki_Kyojin_Chuugakkou","Sungeki no Kyojin","https://myanimelist.net/manga/63907/Sungeki_no_Kyojin","65,116"
"14","https://myanimelist.net/character/34470/Kurisu_Makise","https://cdn.myanimelist.net/r/50x78/images/characters/12/492885.webp?s=be5a1f85ac4eeb788950ff7515e79546","Makise, Kurisu","(牧瀬 紅莉栖)","Steins;Gate","https://myanimelist.net/anime/9253/Steins_Gate","Steins;Gate: Oukoubakko no Poriomania","https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania","Steins;Gate Movie: Fuka Ryouiki no Déjà vu","https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_D%C3%A9j%C3%A0_vu","Steins;Gate","https://myanimelist.net/manga/17517/Steins_Gate","Steins;Gate: Hiyoku Renri no Sweets Honey","https://myanimelist.net/manga/27965/Steins_Gate__Hiyoku_Renri_no_Sweets_Honey","Steins;Gate: Shijou Saikyou no Slight Fever","https://myanimelist.net/manga/28897/Steins_Gate__Shijou_Saikyou_no_Slight_Fever","63,264"
"15","https://myanimelist.net/character/14/Itachi_Uchiha","https://cdn.myanimelist.net/r/50x78/images/characters/9/284122.webp?s=e563ff06c7be6872bc1568eb627a5c77","Uchiha, Itachi","(うちは イタチ)","Naruto: Shippuuden - Sunny Side Battle","https://myanimelist.net/anime/19511/Naruto__Shippuuden_-_Sunny_Side_Battle","Naruto","https://myanimelist.net/anime/20/Naruto","Naruto: Shippuuden","https://myanimelist.net/anime/1735/Naruto__Shippuuden","Naruto Hiden Series","https://myanimelist.net/manga/86129/Naruto_Hiden_Series","Naruto Shinden Series","https://myanimelist.net/manga/90531/Naruto_Shinden_Series","Naruto","https://myanimelist.net/manga/11/Naruto","62,748"
"16","https://myanimelist.net/character/40881/Mikasa_Ackerman","https://cdn.myanimelist.net/r/50x78/images/characters/9/215563.webp?s=3167b679555ad10f77513f18bbf2c92a","Ackerman, Mikasa","(ミカサ・アッカーマン)","Shingeki no Kyojin","https://myanimelist.net/anime/16498/Shingeki_no_Kyojin","Shingeki no Kyojin: Ano Hi Kara","https://myanimelist.net/anime/19285/Shingeki_no_Kyojin__Ano_Hi_Kara","Shingeki no Kyojin Picture Drama","https://myanimelist.net/anime/19391/Shingeki_no_Kyojin_Picture_Drama","Shingeki no Kyojin","https://myanimelist.net/manga/23390/Shingeki_no_Kyojin","Shingeki! Kyojin Chuugakkou","https://myanimelist.net/manga/36535/Shingeki_Kyojin_Chuugakkou","Sungeki no Kyojin","https://myanimelist.net/manga/63907/Sungeki_no_Kyojin","53,083"
"17","https://myanimelist.net/character/67065/Hachiman_Hikigaya","https://cdn.myanimelist.net/r/50x78/images/characters/4/203555.webp?s=4a4bb724fa1ffef617a00796428a1101","Hikigaya, Hachiman","(比企谷 八幡)","Yahari Ore no Seishun Love Comedy wa Machigatteiru.","https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru","Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA","https://myanimelist.net/anime/18753/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_OVA","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku","https://myanimelist.net/anime/23847/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku","Yahari Ore no Seishun Love Comedy wa Machigatteiru.","https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru","Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue","https://myanimelist.net/manga/45447/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru__Monologue","Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.","https://myanimelist.net/manga/79943/Yahari_4-koma_demo_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru","50,452"
"18","https://myanimelist.net/character/87275/Ken_Kaneki","https://cdn.myanimelist.net/r/50x78/images/characters/9/251339.webp?s=d404294038918158aea7a73144293af8","Kaneki, Ken","(金木 研)","Tokyo Ghoul","https://myanimelist.net/anime/22319/Tokyo_Ghoul","Tokyo Ghoul √A","https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA","Tokyo Ghoul:re","https://myanimelist.net/anime/36511/Tokyo_Ghoul_re","Tokyo Ghoul","https://myanimelist.net/manga/33327/Tokyo_Ghoul","Tokyo Ghoul","https://myanimelist.net/manga/74847/Tokyo_Ghoul","Tokyo Ghoul","https://myanimelist.net/manga/80909/Tokyo_Ghoul","49,364"
"19","https://myanimelist.net/character/164471/Satoru_Gojou","https://cdn.myanimelist.net/r/50x78/images/characters/15/422168.webp?s=66e8c3c219db618119e3db45f45f75bb","Gojou, Satoru","(五条 悟)","Jujutsu Kaisen Official PV","https://myanimelist.net/anime/38777/Jujutsu_Kaisen_Official_PV","Jujutsu Kaisen","https://myanimelist.net/anime/40748/Jujutsu_Kaisen","Jujutsu Kaisen 0 Movie","https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie","Jujutsu Kaisen","https://myanimelist.net/manga/113138/Jujutsu_Kaisen","Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou","https://myanimelist.net/manga/115710/Jujutsu_Kaisen_0__Tokyo_Toritsu_Jujutsu_Koutou_Senmon_Gakkou","","","48,193"
"20","https://myanimelist.net/character/73935/Saitama","https://cdn.myanimelist.net/r/50x78/images/characters/11/294388.webp?s=bcc3d7758d7d47b1ed199ea84aae3340","Saitama","(サイタマ)","One Punch Man","https://myanimelist.net/anime/30276/One_Punch_Man","One Punch Man: Road to Hero","https://myanimelist.net/anime/31704/One_Punch_Man__Road_to_Hero","One Punch Man Specials","https://myanimelist.net/anime/31772/One_Punch_Man_Specials","One Punch-Man","https://myanimelist.net/manga/44347/One_Punch-Man","","","","","46,302"
